card_number,distance_from_home,transaction_hour,merchant_category,merchant_type,merchant,currency,country,city,city_size,card_type,card_present,device,channel,high_risk_merchant,weekend_transaction,is_fraud,transaction_id,customer_id,timestamp,amount,device_fingerprint,ip_address,velocity_last_hour
4783486000000000.0,2.0239548e-26,1.9682425e-06,Gas,online,edX,CAD,Canada,Unknown City,medium,Platinum Credit,False,Magnetic Stripe,web,False,False,True,TX_02c7f69d,CUST_76680,2024-09-30 00:01:31.512188+00:00,5554.45,b78379de31fbcec9fa710d5b76394305,35.145.154.234,"{'num_transactions': 1638, 'total_amount': 39342971.06145312, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3578075.0567398756}"
6006391000000000.0,2.305938e-22,3.870818e-07,Healthcare,pharmacy,Barnes & Noble,JPY,Singapore,Unknown City,medium,Platinum Credit,False,iOS App,web,False,False,False,TX_1fa06d73,CUST_19070,2024-09-30 00:15:15.841894+00:00,4746.0,08870a16f2e7855f47d35ea3d2c85485,11.105.148.45,"{'num_transactions': 451, 'total_amount': 27190646.77247601, 'unique_merchants': 102, 'unique_countries': 12, 'max_single_amount': 1205203.6759565256}"
370040020000000.0,1.2555205e-23,2.5624086e-06,Retail,casual,Macy's,EUR,Singapore,Unknown City,medium,Basic Credit,False,Safari,web,False,False,True,TX_2d0b3370,CUST_89068,2024-09-30 00:21:10.534030+00:00,307.44,4786370a5020fd83ebe1f12d392774bb,117.199.191.55,"{'num_transactions': 1705, 'total_amount': 54369664.872715786, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5653343.072775483}"
5012263300000000.0,1.0,5.4832517e-06,Travel,streaming,edX,USD,Brazil,Unknown City,medium,Gold Credit,True,Firefox,mobile,False,False,False,TX_bff8d154,CUST_32781,2024-09-30 00:13:04.343262+00:00,48927.29,384738c99e06febb1fe95c8d51389a3d,189.3.158.139,"{'num_transactions': 1077, 'total_amount': 33941093.164784245, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 970085.3389557636}"
370469900000000.0,0.00029714513,1.1119455e-06,Entertainment,gaming,CVS Pharmacy,RUB,Brazil,Unknown City,medium,Premium Debit,False,Safari,web,False,False,False,TX_8136635e,CUST_81937,2024-09-30 00:16:30.905847+00:00,66570.27,6143ea40c1e9c6abac08962ba1d19aaf,156.77.192.117,"{'num_transactions': 994, 'total_amount': 21858915.193045128, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2324483.665101762}"
5222803000000000.0,1.0,5.8374685e-06,Entertainment,fast_food,Netflix,GBP,Mexico,Unknown City,medium,Premium Debit,False,Firefox,mobile,True,False,False,TX_f2b08b49,CUST_46231,2024-09-30 00:21:36.358141+00:00,87.52,04a68f08f7aff857c32f1fc8a6f15871,138.212.105.135,"{'num_transactions': 48, 'total_amount': 1246445.0487105038, 'unique_merchants': 39, 'unique_countries': 11, 'max_single_amount': 474427.4782699689}"
4872095500000000.0,1.0,3.376057e-06,Restaurant,events,McDonald's,SGD,Mexico,Unknown City,medium,Basic Debit,False,Edge,web,False,False,True,TX_a4116d4f,CUST_70002,2024-09-30 00:18:50.872594+00:00,992.22,e7e3eb5939ccd9915bd07b1846737874,182.1.105.85,"{'num_transactions': 2264, 'total_amount': 82364785.74619947, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5995134.263925855}"
370037670000000.0,1.048797e-11,4.558117e-06,Grocery,casual,Delta,NGN,Russia,Unknown City,medium,Platinum Credit,False,iOS App,mobile,True,False,True,TX_a51a670c,CUST_72886,2024-09-30 00:13:42.505855+00:00,3695.32,9995080a9ce19d74510bc2ee05921a71,56.61.56.210,"{'num_transactions': 1023, 'total_amount': 25594784.941454902, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1768588.5297209653}"
4918109600000000.0,3.4415875e-27,3.064958e-06,Travel,physical,Local Gas Station,CAD,Japan,Unknown City,medium,Premium Debit,False,iOS App,mobile,False,False,False,TX_e488b9f8,CUST_73928,2024-09-30 00:08:12.699150+00:00,276.78,d25411356b134019c03c0540b996ef82,231.64.188.124,"{'num_transactions': 1603, 'total_amount': 80411738.60027793, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3811933.9483186663}"
370047640000000.0,0.99999976,1.27504e-06,Retail,medical,AliExpress,NGN,Nigeria,Unknown City,medium,Platinum Credit,False,iOS App,mobile,False,False,False,TX_3d16e6f9,CUST_73541,2024-09-30 00:10:30.399207+00:00,412.64,ab2fd369a0aa4fb3bf119b752285f269,224.179.211.153,"{'num_transactions': 239, 'total_amount': 5757890.2324828915, 'unique_merchants': 87, 'unique_countries': 11, 'max_single_amount': 899634.7923407474}"
